hour,socializing_index_60min,hour_total_social,hour_total_ped,date
7,0,0,2,7/31/2024
8,0,0,1,7/31/2024
9,0,0,5,7/31/2024
10,0,0,3,7/31/2024
11,0,0,8,7/31/2024
12,0,0,9,7/31/2024
13,0,0,3,7/31/2024
14,0,0,4,7/31/2024
15,0,0,4,7/31/2024
16,0,0,14,7/31/2024
17,0,0,10,7/31/2024
18,0,0,2,7/31/2024
19,0,0,5,7/31/2024
20,0,0,0,7/31/2024
21,0,0,0,7/31/2024
22,0,0,2,7/31/2024
23,0,0,1,7/31/2024
6,0,0,0,8/1/2024
7,0,0,4,8/1/2024
8,0,0,3,8/1/2024
9,0,0,5,8/1/2024
10,0,0,5,8/1/2024
11,0,0,6,8/1/2024
12,0,0,9,8/1/2024
13,0,0,9,8/1/2024
14,0,0,4,8/1/2024
15,0,0,6,8/1/2024
16,0,0,3,8/1/2024
17,0,0,6,8/1/2024
18,0,0,2,8/1/2024
19,0,0,3,8/1/2024
20,0,0,0,8/1/2024
21,0,0,1,8/1/2024
22,0,0,3,8/1/2024
23,0,0,0,8/1/2024
6,0,0,1,8/2/2024
7,0,0,2,8/2/2024
8,0,0,4,8/2/2024
9,0,0,3,8/2/2024
10,0,0,6,8/2/2024
11,0,0,7,8/2/2024
12,0,0,8,8/2/2024
13,0,0,14,8/2/2024
14,0,0,8,8/2/2024
15,0,0,7,8/2/2024
16,0,0,7,8/2/2024
17,0,0,5,8/2/2024
18,0,0,3,8/2/2024
19,0,0,2,8/2/2024
20,0,0,1,8/2/2024
21,0,0,2,8/2/2024
22,0,0,0,8/2/2024
23,0,0,1,8/2/2024
6,0,0,0,8/3/2024
7,0,0,0,8/3/2024
8,0,0,2,8/3/2024
9,0,0,3,8/3/2024
10,0,0,2,8/3/2024
11,0,0,1,8/3/2024
12,0,0,3,8/3/2024
13,0,0,4,8/3/2024
14,0,0,5,8/3/2024
15,0,0,3,8/3/2024
16,0,0,4,8/3/2024
17,0,0,6,8/3/2024
18,0,0,1,8/3/2024
19,0,0,1,8/3/2024
20,0,0,3,8/3/2024
21,0,0,1,8/3/2024
22,0,0,1,8/3/2024
23,0,0,0,8/3/2024
6,0,0,0,8/4/2024
